Gender,Height_cm,US_born,Poverty,Weight_kg,Age_yr
Male,181.1,TRUE,TRUE,122.7,18
Female,158.9,TRUE,TRUE,75.8,50
Male,145.4,TRUE,FALSE,42.1,10
Male,170,TRUE,FALSE,75.3,65
Female,160.3,TRUE,FALSE,66.3,80
Female,162.3,TRUE,FALSE,137.4,38
Female,148.6,TRUE,FALSE,49,73
Male,92.2,TRUE,FALSE,14.4,2
Male,113.6,TRUE,TRUE,21.9,4
Male,135.5,TRUE,TRUE,35.5,9
Female,152.2,FALSE,TRUE,70.3,12
Male,177.8,FALSE,FALSE,97.2,45
Female,151,FALSE,FALSE,69.6,38
Female,149.8,TRUE,TRUE,76.7,29
Male,156,TRUE,FALSE,44.8,12
Female,164,FALSE,TRUE,51.8,37
Male,133.9,TRUE,FALSE,26.3,8
Male,137.7,TRUE,FALSE,29.2,10
Male,170.3,TRUE,FALSE,72.1,80
Female,133.4,TRUE,TRUE,56,7
Male,174.2,TRUE,FALSE,87.5,41
Female,152.4,FALSE,FALSE,52.1,15
Female,150.7,TRUE,FALSE,61.2,78
Female,156.2,FALSE,FALSE,50.9,40
Female,161.6,TRUE,FALSE,62.4,60
Male,158,TRUE,TRUE,51.2,13
Female,83.8,TRUE,FALSE,10.1,2
Female,158.7,TRUE,FALSE,78,68
Female,167.4,FALSE,FALSE,66.7,37
Male,186.5,TRUE,FALSE,168.1,29
Female,162.2,TRUE,FALSE,63.2,61
Male,177.9,TRUE,FALSE,103.3,68
Female,153.9,FALSE,FALSE,61.7,27
Male,182.7,TRUE,TRUE,68.3,17
Female,103.7,TRUE,FALSE,16,3
Female,135.2,TRUE,TRUE,44.5,9
Female,157.9,FALSE,FALSE,96.2,26
Female,165.3,TRUE,FALSE,101.4,31
Male,96.9,TRUE,FALSE,15.5,2
Male,181,TRUE,TRUE,88.1,30
Male,168.8,TRUE,FALSE,119.7,61
Female,164.5,TRUE,FALSE,78.3,57
Male,170.9,TRUE,FALSE,107,76
Male,168.2,FALSE,FALSE,94.2,71
Male,170.2,TRUE,FALSE,114.4,55
Male,169.4,TRUE,FALSE,84,46
Male,171.6,TRUE,FALSE,101.7,68
Male,174.9,TRUE,FALSE,77.7,18
Male,187.3,TRUE,FALSE,74.2,35
Female,148,TRUE,FALSE,61.8,11
Male,164.2,TRUE,FALSE,106.1,64
Female,150.6,TRUE,FALSE,45.6,67
